PlaylistName,PlaylistModifiedDate,TrackName,ArtistName,AlbumName,DateAdded
Actually RnB,2023-02-17,Possessive (feat. Lil Wayne & BLEU),Chris Brown,Breezy,2022-08-13
Actually RnB,2023-02-17,Sleep At Night,Chris Brown,Breezy,2022-08-13
Actually RnB,2023-02-17,WE (Warm Embrace),Chris Brown,Breezy,2022-08-13
Actually RnB,2023-02-17,Harder,Chris Brown,Breezy,2022-08-13
Actually RnB,2023-02-17,Say Goodbye,Chris Brown,Chris Brown (Expanded Edition),2022-08-13
Actually RnB,2023-02-17,I Wanna Be,Chris Brown,Exclusive (Expanded Edition),2022-08-13
Actually RnB,2023-02-17,No BS (feat. Kevin McCall),Chris Brown,F.A.M.E. (Deluxe Version),2022-08-13
Actually RnB,2023-02-17,Deuces (feat. Tyga & Kevin McCall),Chris Brown,F.A.M.E. (Expanded Edition),2022-08-13
Actually RnB,2023-02-17,Up To You,Chris Brown,F.A.M.E. (Expanded Edition),2022-08-13
Actually RnB,2023-02-17,All Back,Chris Brown,F.A.M.E. (Expanded Edition),2022-08-13
Actually RnB,2023-02-17,Should've Kissed You,Chris Brown,F.A.M.E. (Expanded Edition),2022-08-13
Actually RnB,2023-02-17,Wrong In The Right Way,Chris Brown,Fan of A Fan The Album (Expanded Edition),2022-08-13
Actually RnB,2023-02-17,4 Years Old,Chris Brown,Fortune (Expanded Edition),2022-08-13
Actually RnB,2023-02-17,Crawl,Chris Brown,Graffiti (Expanded Edition),2022-08-13
Actually RnB,2023-02-17,So Cold,Chris Brown,Graffiti (Expanded Edition),2022-08-13
Actually RnB,2023-02-17,To My Bed,Chris Brown,Heartbreak on a Full Moon,2022-08-13
Actually RnB,2023-02-17,Hope You Do,Chris Brown,Heartbreak on a Full Moon,2022-08-13
Actually RnB,2023-02-17,Nowhere,Chris Brown,Heartbreak on a Full Moon,2022-08-13
Actually RnB,2023-02-17,Tough Love,Chris Brown,Heartbreak on a Full Moon,2022-08-13
Actually RnB,2023-02-17,Red,Chris Brown,Indigo,2022-08-13
